lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.220592
# Diagonal elements of inverse mass matrix:
# 0.0250883, 0.163609, 0.0108166, 0.0168376, 0.00210225, 0.00636659, 0.000555441, 0.079654, 0.492413, 0.00233053, 0.00578739, 0.00378144, 0.048682, 0.0239143, 0.0212116, 0.161747, 0.0279692, 0.0253528, 0.0480812, 0.0432333, 0.0857073, 0.0286794
5.524,0.763628,0.220592,5,31,0,2.39261,0.132787,0.152909,3.52133,3.36172,11.3142,6.04622,19.2002,1.63571,0.484976,8.44199,4.93579,7.49311,2.64634,3.83603,3.38135,3.45457,2.65433,3.67817,2.41138,2.29828,2.93412,2.9142,6.16767,7.19774,14.6956,9.50078,21.8545,5.31388,2.89635,10.7403,7.86991,10.4073,0.882114,1.27868,1.12712,1.15152,0.884776,1.22606,0.803793,0.766092,0.978039,0.9714,1.50305
7.50603,0.996123,0.220592,4,15,0,4.84778,-0.133465,0.357954,4.20202,3.78629,11.6388,5.72362,18.927,1.87465,0.860049,8.16914,6.27699,7.22039,2.02147,3.50562,3.00108,1.89943,2.91844,3.42375,1.77875,2.13805,1.50793,3.14085,6.22349,7.29192,14.6398,7.62306,21.8455,5.2984,2.6388,10.3072,7.78492,10.3612,0.673825,1.16854,1.00036,0.633145,0.972812,1.14125,0.592916,0.712683,0.502644,1.04695,0.782346
7.46389,0.990824,0.220592,4,15,0,2.6697,-0.0480205,0.1747,3.94795,3.96404,11.5696,6.90844,19.7035,2.05553,0.739967,8.36613,5.59268,7.13226,2.39434,3.53948,3.14085,2.97732,2.17001,3.591,2.096,2.00392,2.50402,3.45894,6.34229,7.50353,14.7105,9.88576,21.8736,5.64654,2.83597,10.3701,8.0967,10.5912,0.798115,1.17983,1.04695,0.992441,0.723338,1.197,0.698668,0.667974,0.834672,1.15298,0.798983
12.5262,0.961402,0.220592,4,15,0,1.91036,-0.0113301,0.203936,3.65449,3.63821,12.5045,7.02127,19.7408,1.88747,0.714454,8.34798,5.89132,7.54711,2.60727,3.69886,3.18427,3.03172,2.60977,3.50237,2.20061,2.48475,2.16834,3.22546,6.26176,7.33707,15.6887,10.053,22.3505,5.38984,2.91506,10.8327,8.05966,10.7726,0.86909,1.23295,1.06142,1.01057,0.869922,1.16746,0.733536,0.828251,0.722781,1.07515,1.37393
11.0576,0.974152,0.220592,5,31,0,-6.24598,-0.0365145,0.264802,3.88868,4.29059,10.698,5.20158,18.5261,2.02323,0.606691,8.28153,5.69576,7.36092,2.26255,3.43931,5.17336,4.08666,3.47667,3.21827,2.24893,2.63525,2.26519,3.15153,6.15124,7.7299,15.8714,9.28825,22.0028,5.2415,2.85562,10.9168,7.96095,10.5125,0.754185,1.14644,1.72445,1.36222,1.15889,1.07276,0.749643,0.878418,0.755064,1.05051,1.00857
11.7345,0.810235,0.220592,4,31,0,-1.16117,-0.0331539,0.215407,3.82061,4.04987,10.6838,5.34532,19.0274,1.66105,0.376085,7.94635,5.45611,7.79998,2.62493,3.27898,4.10702,2.85419,3.41637,3.87699,2.4234,2.82064,2.30246,2.94042,6.44554,7.32885,14.7909,8.19951,22.4437,5.53805,2.79949,10.767,7.75857,10.7404,0.874977,1.09299,1.36901,0.951398,1.13879,1.29233,0.807802,0.940212,0.767488,0.980139,1.05586
11.7251,0.974778,0.220592,5,31,0,2.17583,-0.194665,0.306098,4.00474,4.13479,11.5642,6.39983,20.0143,1.6164,1.20067,9.42115,5.98659,7.70493,2.21217,3.623,3.85342,2.4658,2.36782,3.91096,1.70512,1.44311,1.86216,3.21054,6.21691,7.7578,15.4176,8.86563,22.3821,5.52735,2.90579,10.8643,7.84875,10.9155,0.737391,1.20767,1.28447,0.821934,0.789272,1.30365,0.568373,0.481035,0.620721,1.07018,0.748813
13.3349,0.802169,0.220592,4,31,0,-0.724473,0.00196952,0.368233,4.14871,3.29543,11.3179,6.19765,19.274,1.42208,1.2634,8.86181,5.96344,6.85614,2.09098,4.04195,4.03372,3.49283,2.73331,3.82925,1.65372,1.78783,1.93694,3.56286,6.23969,7.33738,15.3516,9.69048,22.0073,5.25133,2.91712,10.6496,7.90038,10.419,0.696994,1.34732,1.34457,1.16428,0.911102,1.27642,0.55124,0.595943,0.645646,1.18762,1.26583
11.7628,0.439146,0.220592,4,15,0,7.63093,-0.0444362,0.249437,4.10839,3.38365,10.7442,6.28672,19.467,1.73931,0.469723,8.42398,5.91296,7.45812,2.05304,4.48826,4.88137,3.69383,2.91622,3.59523,2.11987,2.75112,1.85579,3.48594,6.16142,7.8719,15.6256,9.98055,22.3833,5.33455,2.58959,11.1751,7.76876,10.9441,0.684346,1.49609,1.62712,1.23128,0.972075,1.19841,0.706622,0.917039,0.618598,1.16198,0.904846
11.4739,0.86182,0.220592,5,31,0,-1.4261,-0.323904,0.286405,3.74724,4.30097,11.5453,5.91727,19.0833,1.98224,0.985857,8.94428,6.06052,7.63683,2.56904,3.27907,4.04209,2.45961,2.88111,3.36164,1.84303,1.71449,1.66376,2.4236,6.31627,7.58004,15.5874,8.37688,21.9644,5.34388,2.82889,10.6588,7.72429,10.0604,0.856346,1.09302,1.34736,0.81987,0.960371,1.12055,0.614345,0.571495,0.554587,0.807867,0.733509
