lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.243333
# Diagonal elements of inverse mass matrix:
# 0.0212545, 0.170158, 0.0125525, 0.0189936, 0.00187311, 0.00716267, 0.000546069, 0.0732637, 0.495149, 0.00251012, 0.00535968, 0.00384929, 0.0507979, 0.0243488, 0.0179938, 0.151209, 0.0278725, 0.022268, 0.0383705, 0.0458458, 0.0753044, 0.0289028
11.8408,0.908601,0.243333,4,15,0,-2.34323,-0.0989615,0.287928,3.92009,4.74966,10.6773,6.27382,19.2214,2.30268,0.590966,8.33068,5.96334,7.60066,2.49309,2.75896,4.65801,2.42966,2.85393,3.7,2.31304,2.32735,1.92656,2.93374,6.41318,7.50862,15.3353,8.70348,22.0753,6.00267,2.904,10.658,7.8899,10.5344,0.83103,0.919654,1.55267,0.809887,0.95131,1.23333,0.771012,0.775784,0.642186,0.977914,0.735249
11.1061,0.92798,0.243333,4,23,0,-3.8091,-0.205405,0.39651,4.12108,3.96292,11.2303,5.85645,18.8596,2.54066,0.930166,8.94059,6.46235,7.57209,2.29333,3.68258,4.11388,2.55622,3.24188,3.46116,1.80418,2.24509,1.44061,3.01165,6.41441,7.64549,15.3442,8.41267,22.1015,6.00182,2.73434,11.1857,7.90296,10.5837,0.764442,1.22753,1.37129,0.852073,1.08063,1.15372,0.601393,0.748364,0.480204,1.00388,0.641659
0.684688,0.765455,0.243333,4,15,0,10.2967,-0.384816,0.653594,3.71352,4.84267,10.4376,5.69951,19.5419,1.91332,0.195879,9.11571,6.60361,7.86244,2.7931,2.62957,5.08972,1.26957,2.5728,3.85001,2.98769,2.04308,1.16596,3.01118,6.50662,7.47224,15.5273,6.96908,22.1147,5.76333,3.18356,11.1588,7.76957,10.8736,0.931034,0.876524,1.69657,0.423189,0.8576,1.28334,0.995895,0.681027,0.388653,1.00373,0.663967
9.49098,0.995554,0.243333,4,15,0,4.88295,-0.103643,0.339998,4.90977,4.62412,11.6268,6.3397,19.2438,1.30906,0.695408,9.32848,6.08203,7.59535,1.41043,2.86946,3.95837,2.70518,2.80509,4.23139,2.27928,1.82729,1.8208,3.2526,6.32019,7.49359,15.5852,9.04489,22.0489,5.54044,2.97469,11.1558,7.90283,10.8479,0.470142,0.956488,1.31946,0.901728,0.93503,1.41046,0.75976,0.609095,0.606933,1.0842,1.11001
11.5558,0.902544,0.243333,4,31,0,-0.861805,-0.0920474,0.29247,4.28415,4.03005,10.6658,6.50399,19.74,1.57877,0.302567,8.35245,5.78227,7.4022,1.72578,3.64848,4.48037,2.14264,2.62876,3.59339,2.47043,2.21234,2.02962,2.8048,6.00993,7.67852,15.1462,8.64663,22.3688,5.17216,2.77299,10.5648,7.81189,10.207,0.57526,1.21616,1.49346,0.714213,0.876254,1.1978,0.823475,0.737447,0.67654,0.934933,0.954945
10.0561,0.738081,0.243333,4,15,0,0.787723,-0.108415,0.316505,3.24091,3.91534,11.6343,5.62085,18.7146,2.13135,0.798248,8.96048,5.98819,7.34397,3.28812,3.54841,3.67993,3.75735,3.20746,3.31093,1.82774,2.37463,1.75355,3.47674,6.52903,7.46375,15.3142,9.3782,21.9221,5.44228,2.62599,11.3351,7.74174,10.8207,1.09604,1.1828,1.22664,1.25245,1.06915,1.10364,0.609248,0.791542,0.584518,1.15891,1.37951
4.85597,0.679113,0.243333,5,31,0,6.0521,0.139332,0.371987,3.18684,3.6618,10.4105,6.58819,19.5323,2.39959,0.396437,9.18064,5.60388,7.17571,2.71001,4.06951,5.06384,2.73204,2.41568,3.24559,2.37402,2.29161,2.196,3.75905,5.89685,7.73131,15.4744,9.32023,21.948,5.64518,2.77046,11.4722,7.79988,10.9348,0.903337,1.3565,1.68795,0.91068,0.805226,1.08186,0.79134,0.76387,0.732001,1.25302,1.78277
7.60093,0.905339,0.243333,4,15,0,7.45526,-0.115475,0.273398,2.96766,4.5888,11.4609,6.01675,19.2839,1.77478,0.834843,8.97202,6.16417,7.7625,2.95931,2.96199,3.51307,3.57895,2.52556,3.69014,2.0331,2.50735,1.8294,2.9855,5.92697,7.55079,14.9739,9.59571,21.8095,5.46491,2.86795,11.4794,7.99356,10.748,0.986436,0.98733,1.17102,1.19298,0.841853,1.23005,0.677701,0.835783,0.609798,0.995167,1.45221
2.62407,0.968324,0.243333,4,31,0,7.78102,0.0721249,0.775668,4.71931,2.58672,10.3559,6.30706,18.6163,1.82858,0.680699,9.19494,6.41308,7.76809,1.17607,4.95388,5.25417,0.863482,3.62434,3.83455,2.02469,2.09272,1.54292,2.94074,5.89538,7.5406,15.6101,7.17054,22.2406,5.66314,2.70539,11.2877,7.956,10.7088,0.392023,1.65129,1.75139,0.287827,1.20811,1.27818,0.674897,0.697574,0.514305,0.980246,2.97039
8.7638,0.693779,0.243333,4,15,0,11.3243,-0.021755,0.230262,3.48351,4.19336,10.9728,5.64084,18.7745,1.81551,0.69368,9.52755,5.66929,7.98437,2.95174,3.59899,4.19936,2.86979,3.47679,3.25357,2.02986,1.84307,2.15634,2.42254,6.43526,7.79236,15.1721,8.51064,22.2513,5.06908,2.72354,11.3706,7.82563,10.4069,0.983915,1.19966,1.39979,0.956597,1.15893,1.08452,0.67662,0.614357,0.71878,0.807513,1.15657
